Date;SO2;NO2;O3;CO;PM10;PM2.5;Station code;Address;Latitude;Longitude
2017-05-19;0.006;0.036;0.048;0.508;42.167;23.792;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-20;0.007;0.033;0.045;0.45;32.958;18.833;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-21;0.004;0.024;0.042;0.371;26.375;15.208;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-22;0.004;0.03;0.036;0.438;38.25;24.708;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-23;0.004;0.032;0.02;0.446;32.667;19.375;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-24;0.003;0.025;0.031;0.404;22.417;12.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-25;0.004;0.029;0.037;0.446;32.292;10.417;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-26;0.003;0.02;0.037;0.358;20.083;6.0;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-27;0.004;0.029;0.043;0.425;28.208;11.542;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-28;0.005;0.027;0.055;0.462;39.375;20.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-29;0.007;0.034;0.065;0.567;61.125;35.292;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-30;0.006;0.041;0.041;0.492;44.333;21.125;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-05-31;0.005;0.04;0.029;0.454;31.833;17.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-01;0.003;0.016;0.043;0.346;33.083;14.708;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-02;0.003;0.018;0.04;0.333;23.625;6.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-03;0.003;0.02;0.038;0.379;25.0;7.792;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-04;0.003;0.018;0.045;0.333;23.25;6.625;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-05;0.003;0.029;0.049;0.413;21.833;9.0;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-06;0.003;0.022;0.041;0.371;17.375;7.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-07;0.002;0.026;0.026;0.45;15.167;7.833;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-08;0.003;0.027;0.056;0.642;38.958;25.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-09;0.005;0.032;0.055;0.683;58.083;37.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-10;0.003;0.023;0.048;0.433;42.208;19.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-06-11;0.003;0.024;0.035;0.367;24.333;5.75;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
